[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.80198,0.00138,3.20971,-1.50869,2.28418,0.17575,1.0,259.35,5 x 5,186.3,188.4,4285.0,19.8,20.1,19 x 80,20.4,-0.18549,0.00135,3.0966,-0.95364,-0.55874,0.16651,1.0,153.1,0.035
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.79659,0.00135,3.26745,-1.52001,2.26881,0.17442,,0.0,5 x 5,182.0,184.2,4290.0,20.8,21.2,39 x 69,22.18,-0.19326,0.00145,3.17222,-0.97758,-0.58101,0.16712,53.0,148.1,0.033
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.79152,0.00144,3.30668,-1.51619,2.25969,0.17171,,0.0,6 x 6,177.5,179.3,4295.0,21.5,22.0,39 x 68,15.45,-0.19936,0.00148,3.23383,-0.98949,-0.59864,0.16602,5.0,143.1,0.032
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.7854,0.00143,3.37037,-1.53307,2.24211,0.17129,10.0,168.7,6 x 6,173.6,175.1,4300.0,22.3,22.8,25 x 37,23.71,-0.20624,0.0015,3.29588,-1.00198,-0.61813,0.16493,70.0,138.1,0.031
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.77949,0.00146,3.41655,-1.53417,2.22908,0.16973,,0.0,6 x 6,168.9,170.8,4305.0,22.9,23.5,12 x 43,22.46,-0.21194,0.00154,3.35223,-1.0091,-0.6349,0.16352,1.0,133.1,0.03
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.77383,0.00159,3.47442,-1.54471,2.21272,0.16828,,0.0,6 x 6,164.6,166.8,4310.0,23.8,24.3,12 x 40,16.07,-0.21908,0.00156,3.4146,-1.02116,-0.65475,0.16329,3.0,128.1,0.029
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.76527,0.00153,3.54173,-1.56449,2.19128,0.16848,,0.0,6 x 6,161.1,162.7,4315.0,24.6,25.1,11 x 39,23.75,-0.22554,0.00163,3.4744,-1.03002,-0.6744,0.16135,6.0,123.1,0.028
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.75863,0.00162,3.59477,-1.56916,2.17466,0.16653,30.0,152.3,6 x 6,156.9,158.4,4320.0,25.4,26.1,11 x 11,19.32,-0.23357,0.00163,3.53556,-1.04187,-0.69533,0.16035,1.0,118.1,0.027
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.7522,0.00164,3.65361,-1.58074,2.15521,0.16665,4.0,0.0,6 x 6,152.7,154.6,4325.0,26.3,26.9,11 x 35,21.85,-0.24052,0.00174,3.59424,-1.05016,-0.71565,0.15936,14.0,113.1,0.025
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.7447,0.00166,3.706,-1.58507,2.13757,0.16442,2.0,154.92,6 x 6,148.6,150.3,4330.0,26.9,27.2,14 x 67,20.9,-0.24617,0.00173,3.641,-1.0463,-0.73154,0.15747,76.0,108.1,0.024
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.73697,0.00171,3.76432,-1.59608,2.1169,0.16424,,0.0,6 x 6,144.6,146.5,4335.0,28.2,28.8,10 x 35,24.35,-0.25528,0.00176,3.71409,-1.06771,-0.759,0.15809,21.0,103.1,0.023
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.73431,0.00175,3.78472,-1.56222,2.11268,0.1592,2.0,146.72,100 x 115,137.6,142.4,4340.0,28.7,29.1,76 x 66,22.32,-0.26174,0.00185,3.75878,-1.06036,-0.77456,0.15556,70.0,98.1,0.022
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.7213,0.00183,3.87423,-1.61152,2.07574,0.16156,,0.0,6 x 14,136.8,138.5,4345.0,30.2,30.8,42 x 32,25.47,-0.27212,0.00183,3.83033,-1.08292,-0.80292,0.15563,10.0,93.1,0.021
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.71327,0.00178,3.92647,-1.615,2.05481,0.16021,3.0,149.36,16 x 16,133.1,134.2,4350.0,30.8,31.2,82 x 81,27.0,-0.27852,0.0019,3.8765,-1.07579,-0.82169,0.15366,14.0,88.1,0.02
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.70569,0.00191,3.97664,-1.61747,2.03394,0.15942,,0.0,7 x 15,128.7,130.6,4355.0,31.9,32.3,41 x 47,29.8,-0.28749,0.00197,3.93332,-1.08186,-0.84521,0.15287,25.0,83.1,0.019
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.69705,0.00194,4.02881,-1.62311,2.01036,0.15829,1.0,163.38,7 x 7,125.0,126.6,4360.0,33.5,34.1,9 x 29,30.35,-0.29807,0.00198,3.99883,-1.10145,-0.87415,0.15251,2.0,78.1,0.018
